Month,Year,Place,Temp_max,Temp_mean,Temp_min,Precipitation,Sunshine
5,1967,Suwa,29.7,15.6,2.4,46.4,271.3
6,1967,Suwa,28.3,18.7,8.6,143,229.8
7,1967,Suwa,32.2,22.8,12.5,265.2,182.1
8,1967,Suwa,32.2,23.5,14.6,102.9,207.6
9,1967,Suwa,29.1,19.2,8.3,58.5,144.4
10,1967,Suwa,22.2,11.1,1.1,159.1,141.6
11,1967,Suwa,19.7,6.9,-5,99.2,160.8
12,1967,Suwa,10.4,-0.4,-13.5,19.8,176.9
1,1968,Suwa,7.5,-2.1,-11.7,35.5,193.1
2,1968,Suwa,9.5,-4.4,-16.3,44,223.2
3,1968,Suwa,16.4,3.1,-8.6,124,191.2
4,1968,Suwa,25,9.6,-3.2,140,202.7
5,1968,Suwa,25.8,13.9,2.1,85.5,248.4
6,1968,Suwa,28.6,18.1,7.1,130,201.4
7,1968,Suwa,33.8,21.7,13.7,135,176.8
8,1968,Suwa,32.5,22.4,15.2,311,170.3
9,1968,Suwa,26.4,17.7,7.6,25.5,173.2
10,1968,Suwa,25.6,11,0.3,98,139.8
11,1968,Suwa,19,6.4,-4.9,21.5,208.7
12,1968,Suwa,15.2,3.5,-7.2,90.5,152.1
1,1969,Suwa,16.9,-0.8,-12.2,60.5,156.7
2,1969,Suwa,15,-0.4,-10.4,114,132.4
3,1969,Suwa,22.7,1.7,-12.6,113,196.2
4,1969,Suwa,29.2,9.7,-3.7,112.5,213.6
5,1969,Suwa,30,14.8,1.8,76,258.7
6,1969,Suwa,28.2,17.5,4.1,203.5,195
7,1969,Suwa,32.8,21.6,13.8,282.5,151.3
8,1969,Suwa,32.7,22,13.6,223.5,198.1
9,1969,Suwa,30.6,18.4,6.4,205,141.7
10,1969,Suwa,21.1,11.3,-1.6,56,176.8
11,1969,Suwa,19.9,6.3,-5.9,32,171.8
12,1969,Suwa,13.2,0.5,-9.7,51.5,198.8
1,1970,Suwa,8.1,-3.3,-15.5,49.5,200.9
2,1970,Suwa,14.6,-0.9,-15.2,77.5,186.6
3,1970,Suwa,15.7,-0.8,-11.1,36.5,219.2
4,1970,Suwa,21.5,9.1,-3.6,71,173.7
5,1970,Suwa,26.2,15.8,2.2,62.5,234.5
6,1970,Suwa,29.5,17.1,7.1,342.5,133.9
7,1970,Suwa,32.8,22.3,14.4,142.5,176.3
8,1970,Suwa,32.5,23,15.1,94.5,204.7
9,1970,Suwa,31.4,20,9.9,191.5,127.1
10,1970,Suwa,22.9,11.7,-2,85,146.3
11,1970,Suwa,17.5,6,-4.3,67.5,177.8
12,1970,Suwa,14.5,0.5,-10.1,49.5,177
1,1971,Suwa,7.1,-2.3,-12.9,4.5,211.3
2,1971,Suwa,14.4,-0.7,-14.1,38,177
3,1971,Suwa,22.9,2.1,-11.9,80,225.5
4,1971,Suwa,22.6,9,-3,126,234.2
5,1971,Suwa,28.5,14.2,3.4,122.5,206.7
6,1971,Suwa,30.1,18.4,8.8,136,146.1
7,1971,Suwa,32.7,22.8,14.8,186,178
8,1971,Suwa,32,22.9,14.8,121.5,204.6
9,1971,Suwa,27.6,17.7,5.9,325,104.3
10,1971,Suwa,19.3,11,-0.6,116.5,127.1
11,1971,Suwa,17.6,5.7,-4.3,18,165.5
12,1971,Suwa,13.3,1.6,-7.4,68.5,178.5
1,1972,Suwa,13.2,0.7,-9.4,71,158.8
2,1972,Suwa,12.4,-0.6,-12.7,90,146.1
3,1972,Suwa,19.4,3.8,-8.5,130.5,222.9
4,1972,Suwa,26.1,9.1,-6.1,113,213
5,1972,Suwa,28.4,14.5,-0.5,89,224.8
6,1972,Suwa,29.4,18.1,7.7,211.5,198.4
7,1972,Suwa,31.2,22,15.1,336,170.8
8,1972,Suwa,32.7,22.7,14.5,113,207.3
9,1972,Suwa,31.6,18.1,5.2,147.5,175.3
10,1972,Suwa,23.6,12.6,1.6,36,184.5
11,1972,Suwa,20.7,6.5,-3.8,85.5,176.4
12,1972,Suwa,13.7,1.6,-6.3,75.5,153.8
1,1973,Suwa,11.3,-0.5,-9.8,98,183.9
2,1973,Suwa,12.4,0.7,-9.5,54.5,168.6
3,1973,Suwa,15,1.8,-9.6,20,226.8
4,1973,Suwa,26.7,11.1,-2.8,147,188.3
5,1973,Suwa,27.2,14,0.2,86.5,255.1
6,1973,Suwa,28.9,17.3,7.9,180,161
7,1973,Suwa,33.5,23.9,14.6,54,255.2
8,1973,Suwa,33.6,24.3,17.3,102.5,202.6
9,1973,Suwa,30.4,18.1,8.5,150.5,149.4
10,1973,Suwa,24.5,11.7,0.5,169,154.6
11,1973,Suwa,18.6,5.3,-6.5,19.5,167.4
12,1973,Suwa,8.4,-0.9,-14.1,7,183.6
1,1974,Suwa,7.6,-4,-15.4,9.5,248.2
2,1974,Suwa,13.4,-1.8,-14.8,68.5,167.3
3,1974,Suwa,13.5,1.9,-9,81,196
4,1974,Suwa,22.3,10.2,-1.9,211,228.6
5,1974,Suwa,28.6,14.8,1.6,108.5,255.2
6,1974,Suwa,29.3,18.5,10,163,204.4
7,1974,Suwa,29.9,20.7,13.3,294.5,110.9
8,1974,Suwa,30.9,23.1,14.9,171.5,231.8
9,1974,Suwa,28.3,17.6,7.3,128,157.5
10,1974,Suwa,21.1,12.1,1.8,103,150.5
11,1974,Suwa,19.2,5,-5.4,32.5,195.4
12,1974,Suwa,7,0.2,-8.2,50.5,171.8
1,1975,Suwa,7.6,-2.6,-15,51.5,195.5
2,1975,Suwa,6.7,-2.5,-12.3,28,176.7
3,1975,Suwa,13.9,2.3,-10.3,60,250.3
4,1975,Suwa,22.7,9.9,-4.2,92,174.7
5,1975,Suwa,24.8,14.2,4.2,116.5,222.4
6,1975,Suwa,27.8,18.4,11.8,199.5,159.9
7,1975,Suwa,32.1,22.1,14.2,304.5,196.5
8,1975,Suwa,32.3,22.9,13.5,116,241.6
9,1975,Suwa,30,20.2,8,128.5,197.5
10,1975,Suwa,27.2,12,2.7,165.5,138.7
11,1975,Suwa,17.9,6.7,-3.5,87.5,170.9
12,1975,Suwa,12,0.5,-8.6,41,172.4
1,1976,Suwa,10.3,-1.7,-12.8,2,203.9
2,1976,Suwa,13.4,1,-12.6,123,168
3,1976,Suwa,15,3.4,-6.3,68,221.1
4,1976,Suwa,23.9,9,-3.9,99.5,176.5
5,1976,Suwa,26.9,14.2,1.5,177,205.2
6,1976,Suwa,26.4,18.2,10.8,263.5,139.6
7,1976,Suwa,31.5,20.8,11.4,212.5,168.1
8,1976,Suwa,30.8,21.6,12.1,183.5,172.7
9,1976,Suwa,27.2,17,6.8,233.5,157.3
10,1976,Suwa,22,11.9,-0.9,78,169.3
11,1976,Suwa,19.1,5.3,-5.2,26.5,163.4
12,1976,Suwa,10,0.8,-11.9,45,189.7
1,1977,Suwa,7.3,-3.7,-14.4,17,194.4
2,1977,Suwa,13.6,-2.9,-16.1,24,197.5
3,1977,Suwa,15.4,3.8,-9.1,120,175.4
4,1977,Suwa,23.7,10.3,-3.8,153,232.1
5,1977,Suwa,26.2,14.3,0.9,67.5,249.6
6,1977,Suwa,28.1,18.5,8.9,195,157
7,1977,Suwa,32.5,22.9,16.3,222,232.2
8,1977,Suwa,33.2,21.9,14.1,106.5,134.3
9,1977,Suwa,30.2,19.6,8.9,126,173.8
10,1977,Suwa,23.1,13,0.7,58.5,218
11,1977,Suwa,22.9,8.4,-3.5,109,161.5
12,1977,Suwa,11.4,2.3,-9.1,45,185.6
1,1978,Suwa,11.4,-0.9,-12,12,153
2,1978,Suwa,11.6,-2.5,-14,37.5,182.5
3,1978,Suwa,14.4,1.9,-8.3,23.5,234.2
4,1978,Suwa,25.6,8.3,-4.8,86.5,197.2
5,1978,Suwa,29.2,15.6,2.1,74,219.8
6,1978,Suwa,30.7,19.6,4.1,280.5,171.1
7,1978,Suwa,32.9,24.1,16.7,97.5,248.5
8,1978,Suwa,33.1,24,14.5,30,268.1
9,1978,Suwa,28.7,18.4,9.8,164,126.1
10,1978,Suwa,24.5,11.6,1.4,182.5,199.5
11,1978,Suwa,16.4,6.4,-3.6,75,183.4
12,1978,Suwa,13.8,1.1,-11.8,38.5,185
1,1979,Suwa,11.8,-0.1,-10.8,33,212.9
2,1979,Suwa,14.2,2.6,-7.7,83,177.5
3,1979,Suwa,21.1,3.6,-8.2,68,220.4
4,1979,Suwa,21.6,8.7,-3.9,138,204.9
5,1979,Suwa,26.9,13.5,1.7,68,250.7
6,1979,Suwa,31.7,20.2,9,126.5,181
7,1979,Suwa,32.7,21.4,13.1,182,179.8
8,1979,Suwa,32.9,23.2,16.9,190.5,189.3
9,1979,Suwa,28.4,19.4,10.6,158,146.3
10,1979,Suwa,26.5,13.5,3.5,148,195.3
11,1979,Suwa,20.2,8.3,-3.4,169.5,170.4
12,1979,Suwa,16.1,2.6,-7.5,16,182
1,1980,Suwa,12.8,-1.7,-16,52.5,169.5
2,1980,Suwa,12.3,-2.1,-11.9,7,218.7
3,1980,Suwa,16.9,2.4,-7.4,112,219.3
4,1980,Suwa,21.1,8.2,-2.3,183.5,210.7
5,1980,Suwa,28.1,14.7,0.6,142.5,233.9
6,1980,Suwa,29.6,19.9,11.3,126.5,175
7,1980,Suwa,32.4,21.2,14.3,338,144.6
8,1980,Suwa,29.9,21.6,16.6,201.5,139.4
9,1980,Suwa,27.8,17.9,8,127,159.3
10,1980,Suwa,24.3,12.4,-0.3,184.5,156.5
11,1980,Suwa,19.4,6.6,-3.4,94.5,181.6
12,1980,Suwa,14.6,-0.1,-11,27.5,181.5
1,1981,Suwa,5,-4.6,-14.3,6,221.4
2,1981,Suwa,12,-3.2,-23,48.5,170.7
3,1981,Suwa,17.8,2.8,-13.4,78,214.5
4,1981,Suwa,23.5,9,-3.7,126,221.5
5,1981,Suwa,26.8,13.6,2.3,133,234.2
6,1981,Suwa,27.5,18.3,5.7,149,160.9
7,1981,Suwa,31.8,22.8,16.4,370.5,212.6
8,1981,Suwa,33.2,22.1,12.2,191.5,179.4
9,1981,Suwa,31.5,17.4,8.2,157,174.9
10,1981,Suwa,20.1,11.3,0.8,124,187.3
11,1981,Suwa,14.9,4.4,-5.5,82.5,156.9
12,1981,Suwa,11.5,0.5,-9.3,11,219
1,1982,Suwa,9.5,-1.5,-13.2,16,207
2,1982,Suwa,10.9,-2.3,-13.8,25.5,201.1
3,1982,Suwa,20.6,3.7,-9.6,76,235.3
4,1982,Suwa,23.9,9,-3.1,58.5,213.4
5,1982,Suwa,29.3,16.5,3.8,84.5,268.1
6,1982,Suwa,27.3,17.5,7.2,172,192.8
7,1982,Suwa,28.9,20,12.8,207,150.4
8,1982,Suwa,30.2,22.4,16.3,224,181.9
9,1982,Suwa,29,17.6,10.1,335.5,116.1
10,1982,Suwa,22.6,11.7,-1.6,48,181.5
11,1982,Suwa,20.3,8.4,-4.3,138.5,155
12,1982,Suwa,14.7,2.2,-7,24.5,179
1,1983,Suwa,12.6,-1.1,-13.8,29,191.8
2,1983,Suwa,6.4,-1.8,-11.5,35,182
3,1983,Suwa,16.8,2.7,-7.8,87,171.3
4,1983,Suwa,26.9,11.6,0.4,173,177.9
5,1983,Suwa,29.6,15.7,4.4,148,267
6,1983,Suwa,27.7,17.6,8.2,105,214
7,1983,Suwa,32,21.3,13,257.5,165.4
8,1983,Suwa,32.4,24.1,17.9,181,195.1
9,1983,Suwa,32.1,19.4,12.1,389,131.1
10,1983,Suwa,23.8,12,-1.2,75,187.3
11,1983,Suwa,17.2,5.4,-6.3,25.5,174.9
12,1983,Suwa,12.4,-0.4,-10.4,22,222.8
1,1984,Suwa,5.8,-5.4,-20.9,45.5,199.2
2,1984,Suwa,4.1,-5.3,-22,36.5,199.5
3,1984,Suwa,14.3,-1.9,-16.5,39,209.9
4,1984,Suwa,23.8,8.3,-5.3,47.5,215.5
5,1984,Suwa,26.9,14.8,3.4,55.5,247.1
6,1984,Suwa,29.2,19.7,11.5,209,168
7,1984,Suwa,32.1,23.1,16.9,104,199.9
8,1984,Suwa,32.9,24.4,13.6,33.5,252.1
9,1984,Suwa,31.1,18.4,8.1,41,162.4
10,1984,Suwa,25.9,11.7,-1.8,26,179.5
11,1984,Suwa,19.4,6.1,-5.2,48,192.6
12,1984,Suwa,13.6,0.8,-9.2,30.5,179.5
1,1985,Suwa,6.3,-3.7,-18,15.5,210.7
2,1985,Suwa,9.7,-0.1,-10.2,64.5,165.8
3,1985,Suwa,15.8,3.5,-4.6,131,153.2
4,1985,Suwa,24.3,10.4,-4.9,120.5,226.8
5,1985,Suwa,27,15.9,4.7,63,223.4
6,1985,Suwa,28.8,18,8.7,370.5,151.3
7,1985,Suwa,33.2,22.6,12.8,182.5,211.7
8,1985,Suwa,33.1,24.7,16,38.5,262.4
9,1985,Suwa,33.2,19.4,11.9,261.5,148.9
10,1985,Suwa,22.5,12.2,1.7,91.5,152.6
11,1985,Suwa,18.4,6.8,-3.5,52,167.5
12,1985,Suwa,12.5,0.7,-10.5,18,178
1,1986,Suwa,8.2,-3.3,-13.7,10,202.3
2,1986,Suwa,9,-3.1,-11.7,15,197.4
3,1986,Suwa,14.6,2.3,-8.7,82.5,209.8
4,1986,Suwa,26,9.7,-5.4,51.5,204.6
5,1986,Suwa,26.5,14,3.1,100,204.6
6,1986,Suwa,28.8,18.6,8.5,101.5,173
7,1986,Suwa,33.2,21.7,15.7,225.5,120.9
8,1986,Suwa,31.8,23.4,14.6,121,240.7
9,1986,Suwa,30.9,19.5,9,97,169.3
10,1986,Suwa,25.4,11.2,-0.8,63,175
11,1986,Suwa,17.5,6.4,-5.1,30.5,168.1
12,1986,Suwa,12,2,-8.7,65,174.1
1,1987,Suwa,13.2,-0.8,-10.6,57.5,195.5
2,1987,Suwa,17.6,0,-11,50.5,174
3,1987,Suwa,18.4,3.8,-10.1,96,181.5
4,1987,Suwa,25.6,9.9,-5.2,11,237.9
5,1987,Suwa,27.8,14.9,1.1,139.5,197.2
6,1987,Suwa,31.6,19.3,10.8,128,208.3
7,1987,Suwa,32.6,23.3,16.4,133.5,156.2
8,1987,Suwa,33.2,24,16.7,94,178
9,1987,Suwa,29.7,19.2,8.7,143.5,149.9
10,1987,Suwa,24.9,14.1,3.2,45.5,155.9
11,1987,Suwa,19.9,7,-3.7,49.5,157.4
12,1987,Suwa,15.9,1.7,-9.8,16.5,189.7
1,1988,Suwa,14.3,0.9,-8.7,19,170.9
2,1988,Suwa,10.2,-1.9,-10.9,16,162.8
3,1988,Suwa,15.8,2.4,-7.7,100,149.8
4,1988,Suwa,23.4,8.7,-3.2,81.5,188.1
5,1988,Suwa,27.2,13.7,0.9,122,198.1
6,1988,Suwa,29,18.9,9,233,159
7,1988,Suwa,31.3,21.2,13.7,185.5,116.9
8,1988,Suwa,32.2,23.5,14.9,146,145.2
9,1988,Suwa,27.8,19.5,13.5,491.5,106.3
10,1988,Suwa,22.2,11.5,-0.9,52,166.9
11,1988,Suwa,15.5,4.4,-5.8,43,177.5
12,1988,Suwa,12.3,0.5,-9.7,8,174.1
1,1989,Suwa,12.3,1,-11.7,117.5,143.1
2,1989,Suwa,10.7,1.4,-9,182,134.8
3,1989,Suwa,16.9,3.6,-5.8,95.5,189.5
4,1989,Suwa,23.1,9.7,-1.1,99.5,219.4
5,1989,Suwa,25.3,13.6,3.5,157.5,159.9
6,1989,Suwa,29.2,17.8,8.9,213,150.4
7,1989,Suwa,30.3,21.3,13.4,322.5,150.3
8,1989,Suwa,32.1,23.3,15.9,163,201.2
9,1989,Suwa,29.9,20.1,11.4,242.5,120
10,1989,Suwa,22.9,12.1,0.4,116.5,176
11,1989,Suwa,19.9,7.4,-2.7,57,142.5
12,1989,Suwa,15.9,1.3,-8,28,191.9
1,1990,Suwa,10,-1.7,-12,59,164.5
2,1990,Suwa,16.1,2.3,-10.3,125.5,112.6
3,1990,Suwa,17.4,4.2,-5.1,96,207.9
4,1990,Suwa,22.8,9.6,-1.3,69.5,190.9
5,1990,Suwa,27.1,14.5,3.9,88,209.6
6,1990,Suwa,32.1,20.3,11.6,68.5,176.8
7,1990,Suwa,33.3,23.4,15.5,138,207.7
8,1990,Suwa,33.7,24.5,15.1,56,243.6
9,1990,Suwa,31.7,20.1,11.4,221,134.9
10,1990,Suwa,23.9,13.2,4.3,121.5,146.5
11,1990,Suwa,20,8.4,-2.2,119.5,165.2
12,1990,Suwa,18.8,2.4,-10,20,195.6
1,1991,Suwa,8,-1.4,-13.1,32,184.9
2,1991,Suwa,10.8,-1.7,-10.8,54,163
3,1991,Suwa,18.6,4.5,-7,133,164.6
4,1991,Suwa,23.3,11,-1.4,107.5,195.4
5,1991,Suwa,29.1,14.9,-0.2,55.5,197.3
6,1991,Suwa,31.4,20.2,10.7,208.5,142
7,1991,Suwa,32.4,22.7,16.7,194,137.2
8,1991,Suwa,32.2,23.3,15.1,138.5,199.1
9,1991,Suwa,31,20.4,11.4,242.5,149
10,1991,Suwa,24.7,13.4,2.7,286.5,114.7
11,1991,Suwa,16.2,6.5,-3.3,94,167.5
12,1991,Suwa,12.6,2.3,-10.5,43.5,153
1,1992,Suwa,9.3,0.3,-9,26,183.4
2,1992,Suwa,15.8,0,-12.6,28.5,189.3
3,1992,Suwa,19.3,4.7,-5.7,136,149.1
4,1992,Suwa,24.8,10.1,-0.7,146,204.3
5,1992,Suwa,24.1,12.9,1.2,102,165.7
6,1992,Suwa,29.7,18.2,10.1,132.5,162.8
7,1992,Suwa,33.8,22.7,12.5,108,204.4
8,1992,Suwa,32.9,23.6,16.5,76.5,182.1
9,1992,Suwa,32.7,18.9,4.2,41,182.9
10,1992,Suwa,26.3,12.8,1.5,150,149.1
11,1992,Suwa,18.4,7,-3.9,74,171.5
12,1992,Suwa,14.4,2.7,-9.4,56.5,165.2
1,1993,Suwa,11.1,0.4,-9,86,138.8
2,1993,Suwa,16.9,0.9,-10.7,74,183.2
3,1993,Suwa,16.8,3,-6.4,41.5,212.2
4,1993,Suwa,24.3,8.4,-4.2,40,218.9
5,1993,Suwa,27.6,14.3,0.9,106.5,210
6,1993,Suwa,29.9,18.4,8.7,203.5,143.4
7,1993,Suwa,30.1,20.7,12.4,287,100.8
8,1993,Suwa,31.3,21.8,14.1,264.5,116
9,1993,Suwa,29.8,18.5,9,210,111.5
10,1993,Suwa,23.7,11.8,-2.4,130,170.1
11,1993,Suwa,19.3,8,-3.7,62.5,164.4
12,1993,Suwa,15.2,1.9,-7.6,66.5,177.7
1,1994,Suwa,11.4,-0.8,-12.6,36,191.7
2,1994,Suwa,10.3,-1.2,-11.3,43,183.3
3,1994,Suwa,16.2,2.3,-7.4,48,207.9
4,1994,Suwa,23.7,11,-2.5,51.5,217.5
5,1994,Suwa,27.1,15.7,3.8,66,217.9
6,1994,Suwa,30,19.5,9.7,131,149.6
7,1994,Suwa,34.6,25.3,17.6,59,230.2
8,1994,Suwa,35.5,25.5,16.3,92,263.1
9,1994,Suwa,32.4,20.7,7.8,171.5,157
10,1994,Suwa,26.3,14.9,5.8,71.5,148.2
11,1994,Suwa,20.7,7.5,-3.7,31.5,178.2
12,1994,Suwa,16.5,2.6,-8.9,20.5,161.3
1,1995,Suwa,9.2,-1.2,-10.6,75.5,183.3
2,1995,Suwa,10.3,-0.5,-9.5,14.5,210.7
3,1995,Suwa,16.8,3.6,-6.7,61,177.3
4,1995,Suwa,21.4,9.6,-3.9,92,185.3
5,1995,Suwa,26.7,15.3,4.9,138.5,185.6
6,1995,Suwa,28.4,17.9,7.7,87.5,133.8
7,1995,Suwa,34.3,22.8,16.8,318,140.9
8,1995,Suwa,35.5,25.5,17.6,62.5,252.1
9,1995,Suwa,28.9,18.2,9.1,160,135.9
10,1995,Suwa,26.2,13.6,2.3,61.5,188.8
11,1995,Suwa,16,5.3,-4.8,34.5,200.1
12,1995,Suwa,11.7,-0.2,-10.8,3,204.9
1,1996,Suwa,13.2,-0.8,-11.4,30,177.2
2,1996,Suwa,17,-2,-14.3,35,177.1
3,1996,Suwa,19.6,3.1,-10.5,141.5,206.5
4,1996,Suwa,26,7.5,-4.3,23.5,242
5,1996,Suwa,28,14.5,2.7,83,219.6
6,1996,Suwa,29.2,19.7,8,156.5,148.2
7,1996,Suwa,33.7,23.3,14.5,120.5,217.7
8,1996,Suwa,33.7,23.4,15.5,152,205.3
9,1996,Suwa,30.3,17.8,5.1,193,164
10,1996,Suwa,23.3,12.4,0.6,111,183.5
11,1996,Suwa,17.9,7.5,-3,96,130.2
12,1996,Suwa,12.4,2,-7.3,73.5,204.5
1,1997,Suwa,11,-1.5,-11.9,21,196.4
2,1997,Suwa,14.5,-0.9,-12.5,18,209.2
3,1997,Suwa,18.2,4.5,-6.1,87.5,181
4,1997,Suwa,25.9,10,-1.1,110,164.7
5,1997,Suwa,29.3,15.4,3.1,125.5,197.1
6,1997,Suwa,32.5,19,8.6,92.5,156.2
7,1997,Suwa,31,22.4,16.2,246,141
8,1997,Suwa,33.4,24,16.3,98,216.4
9,1997,Suwa,32.1,18.9,5.4,244.5,124
10,1997,Suwa,23.9,11.7,-1.6,5,228.1
11,1997,Suwa,18.3,7.9,-2.7,151.5,165.5
12,1997,Suwa,12.2,2.3,-7,47,159.5
1,1998,Suwa,9,-1.7,-12.4,108.5,152.1
2,1998,Suwa,15.1,-0.1,-13.5,86.5,151.2
3,1998,Suwa,22.4,4.2,-7.6,81,219.6
4,1998,Suwa,27.5,13.1,-1.6,205.5,156.3
5,1998,Suwa,29.1,17.1,7,191,177.8
6,1998,Suwa,30.3,19,9.1,190.5,128.3
7,1998,Suwa,32.5,23.1,14.6,29,163.1
8,1998,Suwa,31.2,23.8,18.3,191,140.4
9,1998,Suwa,28.7,20.4,13,214.5,126.6
10,1998,Suwa,26,15,5.9,181.5,128.9
11,1998,Suwa,19.8,7.1,-2.8,11.5,191
12,1998,Suwa,14.1,2.8,-5.8,29.5,190.6
1,1999,Suwa,10.2,-0.6,-9.9,12,199.5
2,1999,Suwa,12.1,-0.7,-12.4,35.5,187.1
3,1999,Suwa,18.2,4.8,-8.4,89.5,180.9
4,1999,Suwa,23.1,9.9,-4,80.5,186.7
5,1999,Suwa,26.7,15.4,2.8,107,238.2
6,1999,Suwa,28.8,19.1,9.3,334.5,154.7
7,1999,Suwa,32.2,22.6,13.9,160,165.5
8,1999,Suwa,32.1,24,17.9,112.5,179.3
9,1999,Suwa,30.3,21.5,13.5,300,133.1
10,1999,Suwa,28.2,13.6,1.3,80.5,164.1
11,1999,Suwa,19.7,7.5,-2.9,67,152.5
